Cell Type	X	Y	Layer
1	91.7	1158.48	5
3	92.3	3481.84	2
3	92.49	1573.18	4
1	92.53	3293.82	3
3	92.96	968.17	5
3	93.3	3015.12	3
1	93.55	1907.09	3
1	94.08	3624.63	2
3	94.29	2852.03	3
1	94.38	3536.57	2
1	94.51	930.01	5
1	94.91	1816.63	4
1	95.83	980.8	5
1	96.84	1339.63	5
1	96.84	1418.17	5
1	97.42	3639.72	2
1	97.63	2669.98	3
1	97.83	3084.31	3
3	97.88	2133.3	3
1	98.02	1774.17	4
1	98.25	2189.66	3
1	98.28	3587.75	2
1	98.32	898.63	5
3	98.38	2454.13	3
3	98.5	3706.41	1
3	98.72	609	6
1	98.99	1977.28	3
1	99.09	140.84	6
1	99.31	1007.65	5
1	99.31	2079.15	3
1	99.54	3093.11	3
1	100.43	3382.81	3
1	100.8	1566.15	4
1	100.94	87.07	6
3	101.58	1819.66	4
1	101.83	1632.42	4
1	104.65	2500.56	3
3	104.68	903.9	5
1	106.65	1613.93	4
1	106.81	212.51	6
1	106.86	1711.78	4
1	107.21	377.58	6
1	107.26	3573.47	2
1	107.39	1654.31	4
1	108.59	99.86	6
1	109.23	744.78	5
3	109.35	2733.49	3
1	109.6	2630.34	3
1	109.82	1475.02	5
1	110.64	2169.54	3
1	111.26	1035.46	5
3	111.28	2662	3
3	111.41	1045.59	5
1	111.75	1869.59	3
3	114.45	1001.21	5
3	114.62	255.14	6
1	115.01	1294.58	5
1	115.27	3614.38	2
1	115.78	1646.69	4
1	115.88	2662.73	3
1	115.89	2475.51	3
3	116.3	2551.52	3
1	116.42	1807.16	4
1	116.53	3599.14	2
1	116.55	1544.11	4
1	116.8	540.17	6
1	116.97	1264.97	5
1	116.97	2079.08	3
1	117.49	2345.65	3
1	117.76	471.16	6
1	117.88	304.54	6
3	118.06	1883.79	3
1	118.63	2748.66	3
3	119.64	1430.11	5
1	120.65	845.07	5
1	122.01	1226.51	5
1	122.58	1417.43	5
1	122.68	2554.11	3
1	123.08	2708.22	3
1	123.36	3551.21	2
1	123.4	1891.33	3
3	123.97	369.63	6
1	124.51	576.19	6
1	124.54	184.92	6
1	125.25	1651.23	4
3	125.7	3499.02	2
1	126.47	1021.78	5
1	126.51	3174.32	3
3	126.82	3584.59	2
1	127.13	2486.9	3
1	127.26	1978.51	3
1	127.4	1774.47	4
1	128.1	655.38	6
1	128.6	3506.86	2
1	128.66	3291.68	3
1	129.49	3572.54	2
1	129.63	1734.78	4
1	130.32	617.14	6
1	130.6	3340.67	3
1	131.07	3444.51	2
1	131.11	3235.79	3
1	132.22	1613.73	4
1	132.82	703.8	5
1	133.1	420.99	6
1	133.32	2160.96	3
3	133.81	1272.22	5
1	134.41	3414.78	2
1	136.23	2093.16	3
1	136.28	371.85	6
1	136.85	1833.05	4
1	136.97	2962.78	3
1	137.24	1546.84	4
1	137.3	2461.97	3
3	137.96	632.74	6
1	138.43	1587.23	4
3	138.59	3745.84	1
1	138.83	481.89	6
1	138.88	799.53	5
1	138.88	1899.52	3
1	139.8	3364.11	3
1	139.86	1489.96	5
1	139.89	111.33	6
3	140.27	2418.26	3
1	140.76	3555.75	2
3	141.75	187.51	6
1	142.17	3575.57	2
1	142.27	3781.29	1
1	142.61	2885.19	3
3	144.29	313.2	6
3	144.47	476.41	6
1	145.11	1767.29	4
3	145.86	438.6	6
1	145.88	3377.28	3
1	146.4	3344.51	3
3	146.57	2574.15	3
1	146.91	731.54	5
3	147.36	838.2	5
1	147.39	2630.8	3
1	147.41	945.61	5
1	148	1185.78	5
1	148.92	2915.96	3
1	149.52	3534.45	2
1	149.86	1924.67	3
3	150.89	1538.93	4
1	151.14	470.42	6
1	151.64	921.5	5
1	151.81	1719.92	4
1	151.86	1748.06	4
3	152.06	3824.12	1
3	152.33	2685.29	3
1	153	531.81	6
3	153.36	740.78	5
1	153.6	3500.21	2
1	154.44	1891.33	3
3	154.51	90.84	6
1	155.79	2250.78	3
1	157.05	1167.88	5
3	157.2	1940.65	3
3	157.96	1310.19	5
3	158.34	550.97	6
1	158.76	3031.54	3
1	159.06	2735.93	3
1	159.09	3494.88	2
1	159.44	3703.31	1
1	159.57	1564.37	4
1	160.5	3574.83	2
1	160.72	2002.7	3
3	160.82	2817.52	3
1	161.36	3658.7	1
1	161.45	1721.84	4
3	162.74	1038.94	5
3	163.44	3665.21	1
3	163.63	3394.96	3
3	164.72	2943.48	3
