Cell Type	X	Y	Layer
1	441.18	3559.39	2
1	441.62	2679.23	3
1	441.82	2363.42	3
1	442.27	3461.57	2
1	443.2	457.68	6
3	443.21	2522.74	3
3	443.55	1505.25	4
1	443.8	1350.1	5
3	444.32	1833.05	4
1	445.03	728.7	5
3	445.04	2291.9	3
1	446.27	3175.95	3
3	446.39	1415.95	5
1	446.54	1619.8	4
1	447.09	2063.3	3
1	447.11	1233.9	5
3	447.44	2447.1	3
1	447.84	3485.51	2
1	448.59	1458.28	5
1	448.99	1657.3	4
1	449.64	3578.85	2
1	449.83	3247.96	3
1	450.03	177.94	6
1	451.44	2836.28	3
1	452.1	1317.34	5
1	452.33	507.16	6
1	452.82	1265.63	5
1	453.69	3110.88	3
3	454.09	2923.19	3
1	454.41	1580.22	4
1	454.7	1414.62	5
1	455.06	3612.28	2
1	455.17	2363.79	3
1	455.75	449.37	6
1	455.84	1734.88	4
1	456.47	3363.05	3
1	456.49	1828.68	4
1	456.58	3177.5	3
3	456.91	3371.56	3
1	456.93	1553.89	4
1	457.18	3529.15	2
1	457.75	1524.16	4
3	458.37	3498.6	2
3	458.74	2742.34	3
1	458.98	716.5	5
1	459.53	2242.15	3
1	459.97	1603.23	4
3	460.1	3576.85	2
1	460.29	1075.5	5
3	460.41	516.26	6
3	460.86	2862.09	3
1	460.94	1749.57	4
1	461.94	3639.08	2
1	462.46	1213.64	5
1	463.26	3277.99	3
1	463.48	1085.78	5
3	463.55	2363.2	3
3	464.38	3438.05	2
1	464.62	2926.3	3
1	464.96	1049.85	5
3	465.86	2070.7	3
1	466.15	1684.59	4
1	466.63	3555.77	2
1	467.04	1700.79	4
1	467.1	385.39	6
1	467.31	1662.99	4
3	467.34	3319.64	3
1	468.05	1424.9	5
1	468.06	290.29	6
1	468.06	2033.12	3
1	468.28	1634.51	4
1	468.36	2208.64	3
1	468.52	848.94	5
3	469.46	1955.96	3
1	469.54	1850.21	3
1	469.74	2329.18	3
1	469.91	2817.27	3
3	470.58	1775.53	4
1	470.66	107.97	6
3	470.7	1211.79	5
1	470.86	3584.54	2
1	471.58	3685.16	1
1	471.64	1031.44	5
1	471.84	2008.35	3
1	472.14	2490.22	3
1	472.16	1005.25	5
1	472.21	1551.9	4
1	473.87	1688.36	4
1	473.99	557.48	6
1	474.12	135.34	6
1	475.03	1804.6	4
1	475.11	1854.5	3
1	475.67	403.24	6
3	475.75	3746.3	1
1	475.92	1656.7	4
1	476.39	2117.22	3
1	476.44	2548.85	3
3	477.4	1435.16	5
1	478.14	1627.34	4
1	478.74	2447.99	3
1	478.85	3505.63	2
1	479.19	2252.21	3
1	479.29	3446.26	2
3	479.31	2324.52	3
1	479.41	1824.57	4
1	479.56	161.52	6
1	479.7	1961.8	3
1	480.07	1651.08	4
3	480.12	713.98	5
1	480.24	2401.37	3
3	480.76	3043.11	3
1	481.85	1392.53	5
1	482.47	2353.81	3
3	482.65	2578.49	3
3	482.67	130.16	6
1	483.83	384.82	6
1	484.7	2049.25	3
1	485.07	3279.32	3
1	485.12	2201.61	3
1	485.29	3077.13	3
1	486.36	223.48	6
3	487.04	914.4	5
1	487.07	675.79	6
1	487.4	2587.81	3
1	488.06	1500.81	4
1	488.35	751.24	5
1	488.45	929.86	5
1	488.93	453.69	6
3	489.5	2812.68	3
1	489.67	1699.75	4
3	491.08	3245.85	3
1	491.3	1117.77	5
1	492.41	1090.11	5
3	492.41	3153.41	3
1	492.61	130.97	6
1	492.79	619.28	6
1	493.08	3050.13	3
1	493.42	1632.22	4
1	493.75	1735.11	4
1	493.86	3378.51	3
1	494.37	2630.56	3
1	495.04	2320.89	3
1	495.08	3236.6	3
1	495.09	3424.29	2
1	495.38	2732.14	3
3	495.8	2423.95	3
1	496.27	3162.88	3
3	496.42	1099.73	5
1	496.64	1689.4	4
1	497.16	3483.71	2
1	497.27	3350.48	3
1	497.34	3591.35	2
1	497.49	3578.48	2
1	498.82	1142.31	5
3	498.92	3838.88	1
1	499.07	1535.33	4
3	499.44	2021.58	3
1	499.61	2400.63	3
1	499.72	3601.92	2
1	499.88	569.61	6
1	502.23	2700.75	3
3	503.17	3531.05	2
1	503.41	3660.38	1
1	503.84	1311.56	5
1	504.69	3552.89	2
3	504.71	1971.88	3
1	504.78	2818.01	3
1	504.8	3288.13	3
3	505.67	1621.64	4
1	507.33	3490.22	2
1	507.4	1253.18	5
1	507.75	1555.45	4
3	508.95	3024.62	3
1	509.06	2909.65	3
1	509.52	1943.09	3
1	509.75	815.54	5
3	510.22	2090.67	3
3	510.39	2662.22	3
3	510.82	3650.47	1
1	512	3507.53	2
1	512.57	1371.53	5
1	512.64	3415.3	2
1	514.17	2714.66	3
3	514.4	2164.16	3
1	514.97	2107.53	3
1	516.38	3273.41	3
3	517.02	315.1	6
1	517.02	1854.2	3
3	517.44	1193.57	5
1	517.51	1701.6	4
1	518.11	3585.95	2
1	518.5	1390.31	5
1	518.5	1409.18	5
1	519.71	3521.14	2
1	519.76	1544.73	4
1	519.88	711.96	5
1	520.6	1460.72	5
1	521.15	3723.82	1
1	521.53	3729.07	1
1	521.59	894.28	5
1	521.92	3420.92	2
1	522.23	1645.24	4
1	522.63	1730.74	4
3	522.7	834.96	5
1	523.65	3470.54	2
1	524.05	3578.4	2
1	524.24	3086.65	3
1	524.42	3661.44	1
3	525.18	2737.24	3
1	525.6	164.24	6
3	526.59	1407.25	5
1	526.89	2552.48	3
3	528.3	2564.9	3
1	528.83	1496.97	4
1	529.23	736.29	5
3	529.78	2804.1	3
1	531.06	676.38	6
1	531.16	1734	4
1	531.44	3511.52	2
3	531.53	1002.98	5
1	532.45	562.95	6
3	532.53	2221.36	3
1	532.56	3615.76	2
1	533.41	777.3	5
1	534.7	3286.28	3
1	534.87	448.28	6
1	536.53	1794.98	4
3	536.7	3508.19	2
1	536.73	1128.78	5
3	537.2	1884.53	3
1	537.28	359.48	6
1	538.08	2855.83	3
1	538.71	3486.96	2
1	538.73	3194.59	3
1	538.74	3686.81	1
1	539.45	3342.64	3
1	540.34	2921.58	3
3	540.54	2331.82	3
1	540.83	2440.79	3
1	541.03	1679.19	4
1	541.47	2540.3	3
1	541.6	1244.68	5
1	541.89	1661.66	4
3	541.99	433.64	6
3	542.09	776.78	5
1	542.87	3614.35	2
1	543.13	1839.26	4
1	543.19	2387.49	3
1	543.93	63.37	6
1	544.1	2691.29	3
3	544.42	625.13	6
1	545.01	3308.17	3
3	545.51	583.52	6
1	545.78	1992.39	3
1	546.08	3174.03	3
1	546.36	3583.66	2
1	546.99	907.37	5
1	547.07	2333.67	3
1	547.16	2967.17	3
1	547.38	1444.82	5
1	547.66	1818.06	4
1	547.93	2572.1	3
1	548.01	2385.05	3
3	548.25	1565.21	4
1	548.35	3374.37	3
1	548.54	947.61	5
1	548.6	0.38	6
3	549.01	3130.63	3
1	550.06	3271.19	3
1	550.36	3841.57	1
1	550.42	1205.85	5
1	550.55	1414.65	5
1	551.12	428.31	6
1	551.19	871.21	5
1	552.11	117.37	6
1	552.35	3140.62	3
3	553.12	3238.6	3
1	554.26	1545.61	4
3	554.41	2760.39	3
1	555.39	1343.3	5
1	555.57	2414.12	3
1	555.79	2023.9	3
1	555.99	3071.19	3
3	556.26	940.58	5
1	557.28	1996.68	3
1	558.24	2138.64	3
3	558.34	546.39	6
3	558.93	121.58	6
1	559.4	467.22	6
1	559.7	618.99	6
3	559.77	2093.82	3
1	559.9	3428.46	2
1	560.38	3573.6	2
1	561.11	2217	3
1	561.31	319.91	6
3	561.92	3496.58	2
1	562.05	2437.24	3
1	562.2	3452.65	2
1	562.89	2075.77	3
1	563.35	986.86	5
1	563.41	3284.58	3
1	563.48	1469.9	5
1	564.32	2042.25	3
1	564.37	2888.82	3
1	564.52	3319.71	3
3	565.93	3309.65	3
1	566.5	285.56	6
1	566.87	2730.36	3
3	566.94	1800.24	4
1	566.97	3541.55	2
3	567.15	3670.32	1
1	567.66	1029.69	5
3	568.17	3588.32	2
1	568.55	1981.52	3
1	568.57	938.14	5
3	568.58	1373.38	5
1	569.17	972.54	5
3	569.27	2220.25	3
1	569.37	2565	3
1	569.59	683.56	6
1	569.89	1698.79	4
1	570.14	2317.84	3
1	570.38	1513.39	4
1	570.41	2144.19	3
3	570.43	290.89	6
1	571.52	201.66	6
1	571.86	1098.17	5
1	572.01	1649.75	4
1	572.21	336.35	6
1	572.58	1881.05	3
1	573.06	3348.56	3
1	574.11	1383.21	5
1	574.14	671.62	6
3	574.81	3424.17	2
1	575.43	945.77	5
1	575.5	1955.73	3
1	575.6	1724.31	4
1	576.31	2064.16	3
3	576.51	1075.15	5
3	577.18	1549.9	4
1	577.25	430.11	6
1	577.61	3661.52	1
3	578.29	2590.45	3
3	578.42	1724.38	4
1	578.69	3014.44	3
3	579.03	2826.69	3
1	579.3	1407.77	5
1	579.39	58.49	6
1	580.3	1542.65	4
1	581.46	2546.14	3
1	582.1	2952.82	3
1	582.48	2266.19	3
1	583.34	645.07	6
1	583.59	3497.62	2
1	583.95	1933.17	3
3	584.42	810.33	5
1	584.6	2602.28	3
1	584.62	2984.92	3
3	584.7	1921.41	3
1	584.97	1838.15	4
3	585.86	2644.44	3
1	585.99	64.65	6
1	586.16	1762.81	4
1	586.45	1807.04	4
1	586.85	492.67	6
1	587.62	2165.05	3
1	588.4	1477.37	5
1	588.46	364.83	6
3	588.55	1466.49	5
1	589.49	2831.42	3
1	589.89	554.74	6
1	590.14	3238.23	3
1	590.65	806.41	5
1	590.83	669.41	6
3	591.3	3501.24	2
1	592.61	2695.95	3
1	593.26	3662.33	1
1	593.52	2107.65	3
1	593.55	3191.63	3
1	594.09	1820.13	4
1	594.49	565.02	6
3	594.56	1964.24	3
1	595.09	3832.85	1
1	595.26	2158.91	3
1	596.64	3527.5	2
3	596.92	2684.11	3
1	597.71	3627.12	2
1	598.13	294.31	6
1	598.35	3501.76	2
1	598.6	3229.94	3
1	599.16	248.16	6
1	599.19	1707.89	4
1	599.26	3191.63	3
1	599.44	2765.05	3
1	600.29	3585.95	2
1	600.73	2223.06	3
1	600.76	3542	2
3	601.46	1640.88	4
1	601.7	3608.07	2
3	602.06	3287.54	3
3	602.35	3096.49	3
1	602.7	831.63	5
1	603.09	1495.86	5
3	603.32	2930.98	3
1	603.34	1273.25	5
1	603.36	2812.56	3
1	603.93	1155.47	5
1	604.28	1607.96	4
1	605.35	1720.46	4
1	605.37	1751.12	4
3	605.79	3197.77	3
1	606.04	1118.42	5
1	606.08	1359.54	5
1	606.44	921.73	5
1	606.84	2412.86	3
1	606.88	3269.64	3
1	607.15	1733.41	4
1	607.53	2730.58	3
1	608.31	118.57	6
1	609.33	1550.66	4
3	609.58	3366.7	3
3	610.17	1972.57	3
1	610.46	1178.48	5
1	610.56	1569.65	4
3	611.04	953.01	5
1	611.35	1338.94	5
1	611.41	3432.38	2
3	611.72	1250.54	5
1	611.95	1983.22	3
1	612.69	1496.72	4
1	612.93	1681.41	4
3	613.44	3710.63	1
1	613.5	1356.36	5
1	613.83	1861.3	3
1	614.64	880.97	5
1	614.83	3640.14	2
3	615.24	365.12	6
3	615.8	1329.76	5
1	616.03	86.55	6
3	616.67	1548.29	4
3	616.9	2207.61	3
1	617.06	804.42	5
3	617.14	129.67	6
1	617.16	2838.74	3
3	617.98	200.41	6
1	618.36	2455.88	3
1	618.55	998.08	5
1	618.92	1472.09	5
1	619.07	3208.49	3
3	619.39	2830.68	3
1	619.46	368.82	6
3	620.1	1173.82	5
1	620.11	8.59	6
1	620.26	3329.42	3
1	620.64	3529.65	2
1	620.76	580.56	6
1	620.76	3848.57	1
1	621.28	3626.23	2
1	622.19	70.94	6
1	622.46	2911.08	3
1	622.58	352.33	6
1	622.71	3580.7	2
3	623.58	3635.11	2
1	624.66	206.25	6
3	625.25	1625.81	4
1	625.58	2230.24	3
1	626.41	808.63	5
1	626.66	631.76	6
3	626.91	588.1	6
1	626.94	3601.7	2
1	627.08	2730.26	3
1	627.2	2053.12	3
1	627.39	3595.86	2
3	628.19	2630.41	3
1	628.43	3842.65	1
3	628.5	3581.44	2
1	628.62	3637.03	2
1	629.75	1296.7	5
3	631.04	1076.78	5
1	631.71	366.53	6
3	631.91	72.94	6
3	632.06	3818.54	1
1	632.1	3293.82	3
1	632.2	1223.1	5
1	632.27	1147.04	5
3	632.62	3002.45	3
1	632.7	1914.39	3
1	632.93	3635.99	2
3	632.94	1424.41	5
3	634.37	1719.06	4
1	635.71	3229.48	3
1	636.16	176.22	6
1	636.53	1645.19	4
3	636.77	699.31	5
1	636.94	1193.42	5
3	637.42	2504.79	3
3	638.26	3437.63	2
3	638.33	2400.08	3
1	638.35	1196.15	5
1	639.99	1485.48	5
1	640.19	2031.59	3
3	640.72	3765.93	1
1	642.15	3527.13	2
1	642.2	3626.75	2
1	642.22	3608.21	2
1	642.24	2835.46	3
1	642.53	1112.36	5
1	643.8	3026.54	3
1	643.92	1371.75	5
1	644.14	779.42	5
1	644.32	2564.48	3
1	644.39	210.02	6
1	644.49	2031.67	3
1	644.59	3277.18	3
3	644.94	1876.57	3
1	645.01	1590.16	4
1	646.47	342.71	6
1	646.49	1833.37	4
3	646.87	1582.02	4
1	646.91	2846.48	3
3	647.8	1683.85	4
1	648.03	2280.98	3
1	648.65	1858	3
3	648.75	2726.94	3
3	650.4	839.55	5
1	650.49	746.87	5
1	650.65	293.57	6
1	650.99	1625.37	4
1	651.11	1396.52	5
3	651.14	2265.82	3
1	651.78	1038.91	5
1	652.03	367.27	6
1	652.08	2618.28	3
1	652.43	1872.28	3
1	653.05	3558.14	2
3	653.07	420.79	6
1	653.54	1586.98	4
1	653.62	1540.82	4
1	654.01	1343.37	5
3	654.41	3081.2	3
1	654.41	3092.07	3
1	654.88	465.08	6
1	655.6	1801.61	4
1	655.73	3823.35	1
1	656.08	997.27	5
1	656.58	2072.28	3
1	656.93	2511.82	3
1	657.28	3596.52	2
3	657.57	3.71	6
1	657.6	2343.92	3
1	658.12	2541.93	3
3	658.51	537.44	6
1	658.59	920.91	5
1	658.68	985.21	5
3	659.03	910.12	5
1	659.87	1199.93	5
1	660.42	1782.09	4
3	660.66	473.21	6
1	660.77	3521.36	2
3	661.11	2959.35	3
1	661.33	3160.93	3
3	661.44	3514.78	2
1	661.77	2096.02	3
1	661.97	1639.27	4
1	662	1872.28	3
3	662.42	3217.49	3
1	662.99	2622.05	3
1	663.19	279.6	6
1	663.21	3313.87	3
3	664.22	2051.12	3
1	664.34	1743.91	4
1	664.6	3131.13	3
1	665.21	3279.4	3
1	665.24	3239.02	3
1	665.73	1241.3	5
3	665.88	17.39	6
1	666.28	2522.99	3
1	666.5	2337.19	3
1	666.52	520.99	6
1	667.09	3039.34	3
1	667.21	1280.21	5
1	667.71	3424.25	2
1	667.82	3549.11	2
3	668.16	2648.61	3
3	669.69	1670.83	4
1	669.91	1694.5	4
1	669.94	913.89	5
1	670.7	1510.7	4
1	670.73	1807.46	4
3	670.88	2800.4	3
1	671.2	2655.56	3
1	671.52	9.03	6
1	672.43	1658.06	4
1	672.7	1045.94	5
1	674.11	825.5	5
3	674.35	3501.1	2
1	674.39	287.88	6
1	674.74	159.43	6
1	675	1103.28	5
1	676.98	959.76	5
1	677.7	1802.35	4
1	678.46	700.57	5
1	678.47	2698.83	3
1	678.47	3135.71	3
1	678.54	492.44	6
1	678.8	3606.07	2
1	679.18	3074.69	3
1	679.51	498.8	6
3	680.05	2167.62	3
3	680.45	629.69	6
1	680.58	3776.16	1
1	681.61	3570.19	2
1	681.68	1406.66	5
1	681.74	3631.26	2
1	681.75	1172.63	5
1	682.05	1506.26	4
1	683	157.21	6
1	683.17	346.19	6
1	683.29	3414.48	2
1	683.59	3408.49	2
1	684.62	2446.98	3
1	685.52	3745.59	1
1	685.74	1910.1	3
1	686.63	2967.12	3
1	686.87	795.07	5
1	686.94	1468.24	5
1	686.99	739.03	5
1	687.62	1001.68	5
3	687.77	3378.24	3
1	687.81	1875.97	3
3	687.91	2584.04	3
1	688.38	1732.96	4
1	688.44	3811.51	1
1	688.86	198.48	6
3	689.96	1425.52	5
3	689.97	2953.14	3
3	690.63	2414.65	3
3	690.79	3740.49	1
3	691.42	2305.31	3
1	691.5	1609.39	4
3	691.82	3432.83	2
3	692.15	3591.2	2
1	692.56	2013.62	3
1	692.96	3376.24	3
3	693.28	700.33	5
1	693.89	2087.81	3
1	694.09	2933.38	3
3	694.09	3180.36	3
3	694.23	3789.92	1
1	694.49	1576.25	4
1	694.65	3638.66	2
3	694.87	3664.62	1
1	695.27	3495.03	2
1	695.43	2902.16	3
3	695.8	3095.18	3
1	696.35	3685.48	1
1	696.55	1756.2	4
1	696.91	3233.55	3
3	697.26	785.46	5
1	697.26	796.7	5
1	697.27	3601.55	2
3	697.61	1592.82	4
3	697.83	1954.4	3
3	699.19	1043.54	5
1	699.39	1836.11	4
1	700.1	2339.71	3
1	700.13	3009.43	3
3	700.15	1124.51	5
1	700.66	3635.92	2
1	700.97	1033.78	5
1	701.04	817.11	5
1	701.91	2668.95	3
3	702.06	1888.77	3
1	702.65	1592.97	4
1	703	3212.69	3
1	703.27	2148.98	3
3	704.46	99.17	6
1	705.07	2328.46	3
1	706.29	1951.74	3
1	706.36	910.06	5
1	707.92	3457.09	2
1	708.26	749.07	5
3	708.51	1299.9	5
1	709.01	3370.64	3
1	710.15	3632.96	2
1	710.32	1127.39	5
1	710.34	1629.51	4
1	710.52	2951.37	3
1	710.64	1768.03	4
1	710.66	1898.16	3
1	711.19	240.76	6
1	711.41	207.43	6
1	711.7	2972.08	3
3	712.4	2731.6	3
1	712.46	1487.55	5
1	713.56	3502.11	2
1	715.88	781.98	5
1	716.12	1663.46	4
1	716.18	1098.62	5
3	716.23	2035.29	3
1	716.92	405.41	6
3	716.97	2666.73	3
1	717.02	3066.33	3
1	717.12	1859.33	3
3	717.44	872.46	5
1	719.02	1751.24	4
3	720.3	972.12	5
1	720.41	597.25	6
1	720.58	2256.42	3
1	721.77	649.34	6
1	721.96	2595.35	3
1	722.38	1652.74	4
1	722.41	2733.15	3
1	723.18	3591.89	2
1	723.3	2145.28	3
3	723.39	2245.4	3
1	723.67	842.95	5
