;	Marker Co	ordinate F	ile	
1	-72.94	2128.11	25.9	0.07
1	-42.37	2100.01	26.15	0.07
1	-19.67	2123.53	26.35	0.07
1	-153.99	2133.71	27.3	0.07
1	-167.79	2133.12	27.3	0.07
1	-173.05	2082.16	27	0.07
1	-122.53	2079.57	24.65	0.07
1	-129.06	2083.78	24.65	0.07
1	-135.89	2086.74	24.65	0.07
1	-133.44	2133.71	24.35	0.07
1	-178.1	2133.93	23.05	0.07
1	-177.21	2069.36	19.7	0.07
1	-174.02	2128.39	19.7	0.07
1	-251.91	2092.88	19.95	0.07
1	-257.4	2098.21	21.3	0.07
1	-245.83	2124.02	21.3	0.07
1	-239.23	2098.8	21.55	0.07
1	-230.55	2081.2	21.85	0.07
1	-245.76	2101.24	26.4	0.07
1	-261.48	2132.45	26.65	0.07
1	-282.4	2104.86	27.6	0.07
1	-361.43	2079.47	26.7	0.07
1	-325.67	2083.61	26.5	0.07
1	-374.93	2098.92	26.4	0.07
1	-371.08	2115.56	26.15	0.07
1	-316.62	2134.57	25.15	0.07
1	-401.86	2105.87	22.4	0.07
1	-342.74	2091.45	21.45	0.07
1	-386.95	2118.82	20.5	0.07
1	-409.31	2102.03	24.45	0.07
1	-408.57	2130.43	19.95	0.07
1	-408.27	1995.27	26.3	0.07
1	-403.96	2054	19	0.07
1	-367.5	1993.97	26	0.07
1	-386.04	2024.96	26	0.07
1	-349.02	2028.88	24.55	0.07
1	-328.55	2034.35	20.1	0.07
1	-368.53	2028.51	19.55	0.07
1	-207.9	2018.1	19.95	0.07
1	-276.59	2012.78	22.65	0.07
1	-279.93	2042.51	22.7	0.07
1	-234.53	2061.3	24.9	0.07
1	-221.85	2034.6	25.8	0.07
1	-175.18	2028.31	26.95	0.07
1	-185.57	2041.18	26.95	0.07
1	-147.22	2047.54	26.5	0.07
1	-125.11	2052.28	23.95	0.07
1	-132.9	2037.78	23.9	0.07
1	-163.69	2008.19	23.9	0.07
1	-81.86	1993.6	24.35	0.07
1	-53	2032.14	24	0.07
1	-42.25	1997.59	23.7	0.07
1	-10.72	2045.67	22.1	0.07
1	-47.22	2055.29	22.05	0.07
1	-87.13	2047.67	19.7	0.07
1	-45.66	2005.95	19.05	0.07
1	84.09	2022.29	18.15	0.07
1	3.23	2056.24	18.75	0.07
1	10.57	2018.52	19.6	0.07
1	68.29	2044.26	21.7	0.07
1	31.27	2059.57	22.3	0.07
1	101.64	2013.3	24.2	0.07
1	151.2	2050.65	22.75	0.07
1	110.92	2018.92	20.25	0.07
1	148.9	2026.46	19.2	0.07
1	272.59	2006.49	18.7	0.07
1	296.92	2055.09	20.55	0.07
1	256.71	2022.25	21.9	0.07
1	272.29	2012.48	25.6	0.07
1	200.41	2030.38	25.85	0.07
1	298.01	1968.64	22.6	0.07
1	209.26	1927.42	18.5	0.07
1	281.96	1974.24	22.45	0.07
1	162.06	1946.56	24.8	0.07
1	153.52	1917.71	24.2	0.07
1	128.45	1940.64	23.3	0.07
1	137.35	1972.37	23.25	0.07
1	24.77	1948.26	17.8	0.07
1	45.47	1961.05	17.85	0.07
1	15.72	1973.11	17.9	0.07
1	86.27	1948.48	18	0.07
1	82.86	1976.51	18	0.07
1	-48.58	1950.28	20.85	0.07
1	-84.19	1984.3	19.2	0.07
1	-86.86	1936.15	23.25	0.07
1	-182.4	1954.59	26.4	0.07
1	-135.67	1961.77	21.7	0.07
1	-174.61	1938.32	19.1	0.07
1	-242.27	1955.83	18.05	0.07
1	-280.4	1938.67	18.05	0.07
1	-271.2	1962.11	22.25	0.07
1	-229.95	1979.72	23.7	0.07
1	-265.12	1975.28	23.85	0.07
1	-264.6	1942.51	24.5	0.07
1	-372.21	1960.69	18.8	0.07
1	-373.62	1971.41	18.8	0.07
1	-387.12	1934.43	20.75	0.07
1	-400.4	1971.04	21.05	0.07
1	-335.57	1968.16	22.4	0.07
1	-310.57	1980.81	25.95	0.07
1	-408.07	1920.69	18.05	0.07
1	-379.32	1865.79	21.2	0.07
1	-318.47	1891.82	17.45	0.07
1	-377.74	1891.75	18	0.07
1	-361.57	1897.52	19.85	0.07
1	-369.21	1845.37	20.8	0.07
1	-319.88	1846.41	21.5	0.07
1	-337.61	1885.76	22.05	0.07
1	-282.34	1889.68	23.4	0.07
1	-341.47	1863.35	24.9	0.07
1	-360.68	1862.01	24.8	0.07
1	-202.61	1870.92	21.45	0.07
1	-176.57	1866.7	18.8	0.07
1	-181.02	1890.81	18.8	0.07
1	-213	1903.9	16.75	0.07
1	-166.88	1916.18	16.65	0.07
1	-119.03	1862.41	16.7	0.07
1	-81.13	1899.54	19.95	0.07
1	-72.93	1902.23	23.4	0.07
1	-58.25	1898.9	21.55	0.07
1	-12.77	1907.48	17.4	0.07
1	-71.97	1851.19	17.35	0.07
1	105.38	1871.41	17.55	0.07
1	52.26	1875.99	17.55	0.07
1	74.07	1877.32	17.85	0.07
1	38.83	1845.96	21.85	0.07
1	93.8	1886.13	24.25	0.07
1	195.88	1867.64	24.35	0.07
1	134.01	1906.17	24.15	0.07
1	152.41	1882.58	21.7	0.07
1	139.06	1869.19	21.65	0.07
1	123.7	1884.28	19.95	0.07
1	221.1	1891.82	16.75	0.07
1	252.21	1911.87	16.95	0.07
1	254.21	1877.4	18.5	0.07
1	233.59	1875.18	22.45	0.07
1	254.24	1837.02	24.15	0.07
